일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,361500.0,-7000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,366500.0,371500.0,350000.0,1313900.0,-1.94,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,361500.0,361500.0,361500.0,0.0,91667.44186046511,0.0,1313900.0,0.0,53.48837209302325,53.48837209302325,53.48837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313900.0,0.0,0.0,0.0,361000.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,372000.0,10500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,373000.0,378000.0,368000.0,946917.0,2.82,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,367000.0,366878.04878048785,366801.9801980198,0.0,-97715.95813953491,10500.0,2260817.0,0.0,78.57142857142857,66.0299003322259,59.75913621262458,235.5769230769365,130.87606837607584,104.70085470086067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341403.8132780083,0.0,0.0,0.0,372666.6666666667,12936719902.589138,0.0,372000.0,1000.0,0.0
2021-03-11,373500.0,1500.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,372500.0,377500.0,366000.0,1024741.0,0.4,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,369376.1329305136,369193.8937351308,369079.0092798327,0.0,214161.73751263903,18000.0,3285558.0,0.0,83.92857142857143,71.99612403100775,63.83813215208564,346.68666916317306,219.3230359117714,127.36363325140167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345535.8334392987,0.0,0.0,0.0,372333.3333333333,-1402793486.3541129,0.0,372000.0,373500.0,0.0
2021-03-12,380500.0,7000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,396000.0,396000.0,378500.0,969276.0,1.84,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,372566.36500754143,372230.51825643104,372019.620497631,0.0,-533565.462487361,25000.0,4254834.0,0.0,66.30434782608695,76.26811594202898,71.43138010175421,641.4574836062384,362.32251006301357,279.1349735432248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363701.6487003427,0.0,0.0,0.0,385000.0,27984805153.53728,0.0,380500.0,373500.0,0.0
2021-03-15,383000.0,2500.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,382000.0,385500.0,377500.0,609496.0,0.65,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,375068.5164862164,374599.54575325665,374303.5221465316,0.0,-305004.46248736104,30500.0,4864330.0,0.0,71.73913043478261,73.99068322981367,74.08497440095014,887.6079939747578,518.5830657245272,369.0249282502307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367706.2216306976,389165.19166821317,374100.0,359034.80833178683,382000.0,-7547219341.882474,0.0,383000.0,373500.0,0.0
2021-03-16,385500.0,2500.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,384500.0,389500.0,384000.0,574082.0,0.65,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,377245.92157975835,376644.8599408227,376263.18911131937,0.0,-565950.8261237247,33000.0,5438412.0,0.0,65.0,67.68115942028986,72.64665286404417,1125.7952170421486,683.1713190741297,442.6238979680189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371453.4931711676,389471.66022912203,378900.0,368328.33977087797,386333.3333333333,5029769266.411419,0.0,385500.0,373500.0,0.0
2021-03-17,383500.0,-2000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,388000.0,391500.0,380500.0,1200355.0,-0.52,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,378413.7598552824,377773.1495222038,377359.43794108235,0.0,-1111566.7352146339,25000.0,4238057.0,0.0,58.333333333333336,65.02415458937199,68.89866574649184,1168.5522025981336,806.008271910374,362.5439306877596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365225.9704733724,389533.06666239985,381200.0,372866.93333760015,385166.6666666667,-687296674.7337246,0.0,385500.0,383500.0,0.0
2021-03-18,403500.0,20000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,388500.0,410000.0,386500.0,1818409.0,4.96,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,382688.5467994391,381564.10663158743,380857.9113488338,0.0,-299086.11819335737,45000.0,6056466.0,0.0,80.0,67.77777777777779,66.82769726247987,2129.6294788139057,1124.0993386316054,1005.5301401823003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460058.2520900609,403808.4315936214,387200.0,370591.5684063786,400000.0,15831146898.19507,0.0,385500.0,403500.0,0.0
2021-03-19,402000.0,-1500.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,397000.0,407500.0,395000.0,1258199.0,-0.37,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,385736.9569303976,384302.32327194803,383397.3547194397,0.0,-148102.23819335736,39500.0,4798267.0,0.0,75.38461538461539,71.23931623931624,68.01374953548867,2688.333739633963,1485.44524547003,1202.888494163933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455380.9323874586,409971.5998224301,391500.0,373028.4001775699,401500.0,2980450628.239253,0.0,402000.0,403500.0,0.0
2021-03-22,396500.0,-5500.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,402500.0,405500.0,393000.0,911358.0,-1.39,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,384150.0,0.0,0.0,387329.35301630665,385806.75654835993,384827.42531251383,0.0,-549099.7581933574,30500.0,3886909.0,-100769.09387190378,54.23728813559322,69.87396784006954,69.63035395238785,2762.249955619627,1771.5236189552465,990.7263366643806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442912.1040292496,410760.19323558756,394200.0,377639.80676441244,398333.3333333333,-2743159109.811951,0.0,396500.0,403500.0,0.0
