일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,230000.0,-9500.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,235500.0,238000.0,224500.0,1481874.0,-4.13,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,230000.0,230000.0,230000.0,0.0,-274421.1111111111,0.0,1481874.0,0.0,40.74074074074074,40.74074074074074,40.74074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481874.0,0.0,0.0,0.0,230833.33333333334,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,226000.0,-4000.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,240000.0,240000.0,225000.0,886963.0,-1.77,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,227904.76190476186,227951.21951219512,227980.19801980196,0.0,-1043122.3777777778,-14000.0,594911.0,0.0,9.67741935483871,25.209080047789726,32.97491039426524,-89.74358974359347,-49.85754985755193,-39.886039886041544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466448.556521739,0.0,0.0,0.0,230333.33333333334,2113955148.072693,0.0,226000.0,1000.0,0.0
2021-03-11,241500.0,15500.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,226500.0,244000.0,225000.0,1171776.0,6.42,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,232874.62235649544,232689.53211736714,232576.3298915174,0.0,-179708.48304093583,2500.0,1766687.0,0.0,87.17948717948718,45.865882425022214,37.271901071184224,366.3029262757336,120.70002232822083,245.6029039475128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546813.724663332,0.0,0.0,0.0,236833.33333333334,3242940630.291114,0.0,226000.0,241500.0,0.0
2021-03-12,242500.0,1000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,245500.0,247500.0,237000.0,893711.0,0.41,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,235635.1001939237,235324.45404715638,235131.4195818719,0.0,-137150.81637426917,8000.0,2660398.0,0.0,78.26086956521739,58.37259203318109,43.149184835331006,600.8492863271968,283.3522120297709,317.49707429742585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550514.3913299988,0.0,0.0,0.0,242333.33333333334,9105292426.746454,0.0,242500.0,241500.0,0.0
2021-03-15,228500.0,-14000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,238000.0,238500.0,228500.0,1316842.0,-6.13,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,233923.98977903716,233823.23795584438,233752.09474939937,0.0,-1453992.816374269,-6000.0,1343556.0,0.0,17.391304347826086,60.94388703084355,55.06078716301562,158.55666026406107,246.22835679247027,-87.6716965284092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474490.5232887617,247507.24447527458,233700.0,219892.75552472542,231833.33333333334,-6644684783.747785,0.0,242500.0,228500.0,0.0
2021-03-16,215500.0,-13000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,216500.0,223000.0,211000.0,2124858.0,-6.03,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,230078.2770254069,230385.14467047204,230557.51627689388,0.0,-1985207.316374269,-19000.0,-781302.0,0.0,12.32876712328767,35.99364701211038,51.77004202537834,-666.1891398218868,-1.0875142214828253,-665.101625600404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353601.4467023285,251074.1214359587,230800.0,210525.8785640413,216500.0,-9318269738.495466,0.0,242500.0,215500.0,0.0
2021-03-17,216000.0,500.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,214000.0,218500.0,211000.0,1137853.0,0.23,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,227449.4083642004,228017.48934640264,228352.31008479034,0.0,-1605922.9830409358,-14000.0,356551.0,0.0,13.698630136986301,14.472900536033352,37.13681152632909,-1160.9809373945463,-294.6255964857661,-866.3553409087802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356241.4768647414,252291.27497604163,228800.0,205308.72502395837,215166.66666666666,-1483056247.1602218,0.0,216000.0,215500.0,0.0
2021-03-18,214500.0,-1500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,220500.0,222500.0,214500.0,851838.0,-0.7,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,225242.78188328893,226025.63175843286,226498.41197967925,0.0,-2457760.983040936,-22000.0,-495287.0,0.0,9.58904109589041,11.87214611872146,20.77956455562173,-1545.4267095791583,-595.2166252822534,-950.2100842969049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350325.9351980747,245073.9474946305,223400.0,201726.0525053695,217166.66666666666,3521796397.9066443,0.0,214500.0,215500.0,0.0
2021-03-19,211500.0,-3000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,208500.0,215500.0,205500.0,1132187.0,-1.42,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,223073.41456092946,224079.3343357731,224696.90511345424,0.0,-2231323.583040936,-26000.0,-1627474.0,0.0,18.181818181818183,13.823163138231633,13.389403264328815,-1936.9747712131066,-905.1694134887675,-1031.805357724339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334491.1519812914,228923.4807118023,217200.0,205476.5192881977,210833.33333333334,-7065970550.801237,0.0,214500.0,211500.0,0.0
2021-03-22,204500.0,-7000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,208500.0,209000.0,200000.0,1425570.0,-3.42,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,223050.0,0.0,0.0,220325.47120907943,221664.46445838182,222492.5410743306,0.0,-2231323.583040936,-33000.0,-3053044.0,-616141.4406436223,19.565217391304348,15.778692223004313,13.824667159985802,-2547.1130849563633,-1273.060110596831,-1274.0529743595323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287309.1661656885,220894.70423263812,212400.0,203905.29576736188,204500.0,-3787958500.8102026,0.0,214500.0,204500.0,0.0
