일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,231500.0,1000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,230500.0,234000.0,228000.0,1254755.0,0.43,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,231500.0,231500.0,231500.0,0.0,209125.8333333333,0.0,1254755.0,0.0,58.333333333333336,58.333333333333336,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254755.0,0.0,0.0,0.0,231166.66666666666,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,227500.0,-4000.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,236500.0,236500.0,227000.0,901351.0,-1.76,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,229404.76190476186,229451.21951219512,229480.19801980196,0.0,-597346.1140350876,-9000.0,353404.0,0.0,5.263157894736842,31.79824561403509,45.06578947368421,-89.74358974359347,-49.85754985755193,-39.886039886041544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239180.9006479483,0.0,0.0,0.0,230333.33333333334,790480068.2531,0.0,227500.0,1000.0,0.0
2021-03-11,228500.0,1000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,228000.0,232000.0,227500.0,1154314.0,0.44,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,229074.0181268882,229118.55670103087,229146.9742517318,0.0,-1238631.6695906431,-8000.0,1507718.0,0.0,15.789473684210526,26.461988304093566,38.864522417154,-83.3412060913397,-63.58035978943215,-19.76084630190755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244254.8083402559,0.0,0.0,0.0,229333.33333333334,-779683864.1825361,0.0,227500.0,228500.0,0.0
2021-03-12,232500.0,4000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,231500.0,233500.0,229000.0,823038.0,1.72,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,230056.56108597285,230026.75386444703,230010.29209958832,0.0,-781388.3362573098,-4000.0,2330756.0,0.0,57.89473684210527,26.31578947368421,28.192007797270957,66.03168135281885,-19.673841787314608,85.70552314013347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258662.4757363172,0.0,0.0,0.0,231666.66666666666,820132241.7676947,0.0,232500.0,228500.0,0.0
2021-03-15,232000.0,-500.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,233000.0,236000.0,230000.0,769672.0,-0.22,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,230522.6286219718,230460.82065284392,230424.14821026285,0.0,-1037945.6695906431,-8000.0,1561084.0,0.0,52.63157894736842,42.10526315789474,31.62768031189084,125.91239030178986,23.634770804636975,102.27761949715288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257007.2671341668,234419.95024844835,230400.0,226380.04975155165,232666.66666666666,1364217484.85069,0.0,232000.0,228500.0,0.0
2021-03-16,234000.0,2000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,233500.0,235000.0,232000.0,633617.0,0.85,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,231248.47419711467,231124.89699014352,231050.01276472668,0.0,-826740.0029239765,-6000.0,2194701.0,0.0,73.68421052631578,61.40350877192983,43.27485380116959,245.06325386289973,83.65420089892712,161.4090529639726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262469.482651408,235855.80467734556,230900.0,225944.19532265444,233666.66666666666,236736072.42229927,0.0,234000.0,228500.0,0.0
2021-03-17,232000.0,-2000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,234000.0,234000.0,230000.0,627439.0,-0.86,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,231388.8083180961,231268.93045993886,231193.91902550615,0.0,-826740.0029239765,-8000.0,1567262.0,0.0,52.94117647058824,59.75232198142415,54.42036463708291,226.65136391698616,119.84296804162277,106.80839587536339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257106.7561556816,235411.09401705355,231800.0,228188.90598294645,232000.0,-956268258.7470653,0.0,232000.0,228500.0,0.0
2021-03-18,234000.0,2000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,234500.0,238000.0,233500.0,1005422.0,0.85,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,231833.76491765428,231671.36477649273,231569.46564333088,0.0,-1608734.8918128654,-6000.0,2572684.0,0.0,55.55555555555556,60.726980850819864,60.62760386805795,305.7809908701456,164.5273714926111,141.2536193775345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265774.1871901643,234733.03027798233,232900.0,231066.96972201767,235166.66666666666,1678399716.7358582,0.0,232000.0,234000.0,0.0
2021-03-19,229500.0,-4500.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,230000.0,232000.0,229000.0,1055587.0,-1.96,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,231465.36837367766,231380.42241072,231320.89555664913,0.0,-2312459.558479532,-10500.0,1517097.0,0.0,5.555555555555555,38.01742919389979,52.8322440087146,132.66280120707233,157.1664976757033,-24.503696468630977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245474.4371901643,235622.64954516722,232300.0,228977.35045483278,230166.66666666666,-1492060815.4514976,0.0,232000.0,229500.0,0.0
2021-03-22,229000.0,-500.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,230000.0,231000.0,227500.0,739527.0,-0.22,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,231050.0,0.0,0.0,231100.61623776398,231086.82660830236,231067.58453325718,0.0,-2418106.272765246,-12500.0,777570.0,-809997.1025839259,14.285714285714285,25.132275132275137,41.2922283923316,-17.82736300918623,117.95771450261633,-135.78507751180257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243863.2672555237,235970.8313008125,231700.0,227429.1686991875,229166.66666666666,-591594356.9335535,0.0,229000.0,229500.0,0.0
2021-03-23,226500.0,-2500.0,-540900,-476900,1017000,800,-69100,-19100,-113900,0,1000,-339900,229500.0,231000.0,225500.0,1024811.0,-1.1,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,230550.0,0.0,0.0,230456.68411847707,230560.91901703246,230610.02924768726,0.0,-3070258.727310701,-17000.0,-247241.0,-973452.6173771261,8.0,9.280423280423285,24.143375868866073,-259.5128584121994,35.369309991578675,-294.8821684037781,0.0,-2.1598272138228958,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,1232675.3742424233,235361.39516022557,230200.0,225038.60483977443,227666.66666666666,-536684325.2072821,0.0,229000.0,226500.0,0.0
2021-03-24,221000.0,-5500.0,-433500,-478000,896300,15300,-67000,-9000,-131200,4400,-4600,-226200,225000.0,225500.0,220000.0,1049551.0,-2.49,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,229900.0,0.0,0.0,229194.9620174917,229533.5717710587,229719.12680729895,0.0,-3738154.8182197916,-22500.0,-1296792.0,-1164337.482592953,5.555555555555555,9.280423280423284,14.564373897707236,-735.2942167414003,-130.13689517030264,-605.1573215710977,0.0,-2.857142857142858,0.0,0.0,0.0,0.0,0.0,-6500.0,0.0,1207189.5883704587,236508.81895447307,228000.0,219491.18104552693,222166.66666666666,-2882184858.0964622,0.0,229000.0,221000.0,-0.3910974030034906
2021-03-25,218000.0,-3000.0,-127300,-82700,172500,37500,158500,-7000,-46700,-1100,-2200,-228800,218500.0,220500.0,216000.0,1087519.0,-1.38,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,228850.0,0.0,0.0,227762.22544798852,228364.2239539111,228706.70509258338,0.0,-3858990.262664236,-25500.0,-2384311.0,-1175025.5249960278,12.5,8.68518518518519,9.08201058201059,-1247.8570887796523,-366.68532113625633,-881.1717676433959,0.0,-4.59518599562363,0.0,0.0,0.0,0.0,0.0,-10500.0,0.0,1192426.8870129925,233890.6545418908,224800.0,215709.3454581092,218166.66666666666,-1862036433.3864512,0.0,229000.0,218000.0,-0.2841486751490916
2021-03-26,215500.0,-2500.0,138900,295700,-419500,-15100,185000,-1000,8900,200,-1600,-52500,219500.0,219500.0,212000.0,1480861.0,-1.16,0.5,2.608,0.25,33171.37,13316.0,4.0005,59.16,227150.0,0.0,0.0,226248.9974543821,227126.5144607575,227637.19542562304,0.0,-3957714.329330903,-29500.0,-3865172.0,-1103989.606737041,18.421052631578945,12.158869395711505,10.041492620439996,-1760.200595710572,-658.2097563008934,-1101.9908394096788,0.0,-7.311827956989248,-86.53846153846153,-197.4358974358966,0.0,0.0,0.0,-17000.0,0.0,1175444.5360955612,232139.03348450927,222000.0,211860.96651549073,215666.66666666666,-1266155297.4924724,0.0,229000.0,215500.0,-0.15510050607386133
2021-03-29,215500.0,0.0,-703100,49600,659200,-5700,-460300,-19300,-29600,-25800,-2500,-165700,215500.0,217500.0,211000.0,1184415.0,0.0,0.5,2.639,0.25,33066.96,13316.0,3.9945,61.45,225500.0,0.0,0.0,224964.2599152181,226059.72874640382,226711.1336944538,5535.714285714285,-3502170.098561672,-29500.0,-3865172.0,-829620.8752284236,22.5,17.807017543859654,12.883690708252118,-2124.1260799870943,-962.0846690362765,-1162.0414109508179,26.47058823529412,-7.1120689655172376,-83.33333333333333,-152.91820797369468,0.0,0.0,24.63275045774516,-16500.0,0.0,1175444.5360955612,227560.75057122536,219300.0,211039.24942877464,214666.66666666666,-823191195.6535505,0.0,215500.0,215500.0,-0.12649205371919878
2021-03-30,219500.0,4000.0,253900,346700,-604800,4200,295900,10800,-28000,-800,2100,-26100,215500.0,221000.0,215000.0,935840.0,1.82,0.5,2.511,0.25,32981.55,13585.5,4.1405,58.65,224050.0,0.0,0.0,224329.32969975672,225483.28534850955,226190.44653342498,5568.877551020408,-3034250.098561672,-25000.0,-2929332.0,-493075.4054995873,58.620689655172406,33.18058076225046,21.048822567273874,-2130.97385784809,-1202.6333502426742,-928.340507605416,34.738955823293175,-6.196581196581197,-68.51851851851852,-86.13406795224931,0.0,0.0,31.342905741648835,-14500.0,0.0,1192815.116141965,222254.30821141545,217900.0,213545.69178858455,218500.0,2404257137.972303,0.0,219500.0,215500.0,-0.008307426641065622
2021-03-31,218000.0,-1500.0,-348800,-293800,643500,-900,-317300,-11100,4800,2500,1100,-29000,221500.0,222000.0,218000.0,750876.0,-0.69,0.5,2.456,0.25,33153.21,13570.0,4.1185,59.33,222650.0,0.0,0.0,223612.02023766056,224851.13202684946,225628.5992392553,5456.814868804664,-3785126.098561672,-29000.0,-3680208.0,-549487.767383283,63.63636363636363,48.25235109717869,33.079983134429604,-2202.5778579706093,-1407.2293439943694,-795.3485139762399,33.229905437352244,-6.034482758620685,-74.07407407407408,-65.11627906976672,0.0,0.0,37.96872740289048,-14000.0,0.0,1187683.84507135,220436.87742827163,217300.0,214163.12257172837,219333.33333333334,1065422253.4746083,0.0,218000.0,215500.0,0.01202519775569927
2021-04-01,219000.0,1000.0,-161700,574800,-415500,2400,-11700,-26700,-15700,-4800,-900,-101900,220500.0,224500.0,218500.0,749450.0,0.46,0.5,2.52,0.25,33527.19,13604.75,4.0575,59.77,221150.0,0.0,0.0,223100.7978263228,224374.4251304771,225195.1271769284,5531.328092461474,-4409667.765228339,-28000.0,-2930758.0,-721329.9214220722,59.25925925925925,60.50543751693177,47.312789792120306,-2167.325759583706,-1562.0374011462495,-605.2883584374563,35.24931663874438,-6.41025641025641,-70.37037037037037,-44.038929440389076,0.0,0.0,37.43391164041016,-15000.0,0.0,1191121.6891080472,220905.87727318527,217500.0,214094.12272681473,220666.66666666666,1200880645.806925,0.0,219000.0,215500.0,0.0514474070633521
2021-04-02,233500.0,14500.0,371500,563400,-948800,13900,452700,-18900,-32400,-6400,300,-23800,225500.0,238500.0,225000.0,3648528.0,6.21,0.5,2.522,0.25,33430.24,13747.75,4.099,59.6,221550.0,0.0,0.0,224230.972419052,225093.563975542,225714.44037062785,6529.090371571369,-3463753.098561672,-13500.0,717770.0,-425080.688551086,81.81818181818183,68.23793490460157,58.99857450623734,-1183.7147871640045,-1485.266492962637,301.5517057986324,56.01999659083581,1.7429193899782147,-18.181818181818183,75.70207570207616,0.0,0.0,49.04700034962327,4000.0,0.0,1432690.8945874993,233802.75560656033,221100.0,208397.24439343967,232333.33333333334,3792625409.4802065,0.0,219000.0,233500.0,0.31299477826345296
2021-04-05,234000.0,500.0,-381200,170600,212900,-2200,-154800,-10100,-20000,-2400,900,-194800,236000.0,236500.0,230000.0,990184.0,0.21,0.5,2.526,0.25,33446.26,13829.5,4.046,59.32,222050.0,226550.0,0.0,225274.12361364363,225774.20727959045,226211.22236549432,6527.0124878877,-3235249.098561672,-9500.0,1707954.0,-192538.3034174014,80.85106382978722,73.97616830240945,67.57318024131426,-378.7229866597336,-1261.376516011123,882.6535293513894,56.53772912566277,2.183406113537112,-16.363636363636363,87.95107033639181,0.0,0.0,50.196685631931445,5000.0,0.0,1434811.202938677,239450.59725744996,224800.0,210149.40274255004,233500.0,984665476.315513,0.0,234000.0,233500.0,0.37230392097863674
2021-04-06,230000.0,-4000.0,-513300,581700,-37800,-30500,-334600,-35800,16500,-3000,-3400,-153100,235000.0,235000.0,229500.0,737694.0,-1.74,0.5,2.561,0.25,33503.57,13808.75,4.0255,59.7,222400.0,226475.0,0.0,225770.87504408197,226088.10764311813,226429.57767708506,6453.654453038579,-3838816.9167434904,-14500.0,970260.0,-271948.1513371635,58.536585365853654,73.73527700460757,71.9831267372062,-16.862358945596498,-1010.1565897550871,993.2942308094906,51.33165730419799,1.5452538631346657,-30.90909090909091,68.14268142681468,0.0,0.0,49.855630310526486,3500.0,0.0,1422201.0490925233,240905.71312000928,226900.0,212894.28687999072,231500.0,-745566589.9410868,0.0,230000.0,233500.0,0.3160262105247756
2021-04-07,230000.0,0.0,-326700,324200,-21900,24400,-83000,-37000,-53600,-3200,-10000,-140000,228500.0,232500.0,226500.0,708886.0,0.0,0.5,2.619,0.25,33800.6,13975.75,4.039,60.18,223300.0,226600.0,0.0,226209.18564119548,226371.14426385163,226627.8110267134,6421.250563535824,-3720669.250076824,-14500.0,970260.0,-242118.99960702145,57.49999999999999,65.62921639854696,71.11355390185466,263.4949178422976,-753.532738432185,1017.0276562744826,51.331657304197996,4.072398190045257,-30.90909090909091,56.7125081859861,0.0,0.0,44.36373695495538,9000.0,0.0,1422201.0490925233,240136.97374731526,229300.0,218463.02625268474,229666.66666666666,-2327595692.3962383,0.0,230000.0,233500.0,0.282198548355847
2021-04-08,231500.0,1500.0,-482100,107900,364100,10100,-351100,32400,-9400,-3800,-2500,-147700,229000.0,233500.0,227000.0,915323.0,0.65,0.5,2.618,0.25,33745.4,13798.75,4.134,63.15,224650.0,226750.0,0.0,226750.6370619253,226733.2748013422,226888.94171528993,6426.875523283265,-3368621.9423845164,-10000.0,1885583.0,-95890.29421468172,48.148148148148145,54.728244504667266,64.69757930260727,579.7084235767252,-485.3011461792757,1065.009569756001,53.205641511992496,6.192660550458706,-25.454545454545453,66.9270833333338,0.0,0.0,50.61210236921533,13500.0,0.0,1428170.5469186103,235182.30690505754,231800.0,228417.69309494246,230666.66666666666,532598874.932674,0.0,230000.0,231500.0,0.29985059682928117
2021-04-09,228500.0,-3000.0,-576200,-152500,719000,9700,-319700,-14800,-5200,-33500,14000,-217000,231500.0,232000.0,227000.0,726250.0,-1.31,0.5,2.658,0.25,33677.27,14014.0,4.225,63.46,225950.0,226550.0,0.0,226927.64042898337,226855.21400756048,226972.44996945816,6324.955843048746,-3659121.9423845164,-13500.0,1159333.0,-119783.97889829893,20.0,41.882716049382715,54.08005898419898,612.2213225237501,-264.7551534346019,876.976475958352,49.13099786315352,6.032482598607891,-36.36363636363637,50.5208333333338,0.0,0.0,50.6548553678023,13000.0,0.0,1418759.0998343772,234520.21504754765,230800.0,227079.78495245235,229166.66666666666,-516351118.76075727,0.0,228500.0,231500.0,0.18946379878105876
2021-04-12,226000.0,-2500.0,-386200,-324700,687800,23100,-231700,-30600,-6200,2100,2100,-122000,228000.0,229000.0,225500.0,659014.0,-1.11,0.5,2.68,0.25,33730.89,14029.5,4.173,63.13,227000.0,226250.0,0.0,226834.7346492137,226797.4239738908,226923.6173088948,6123.173282830978,-4129846.2280988023,-16500.0,500319.0,-268445.1245508427,5.263157894736842,24.470435347628328,40.36046530055943,456.5418713905092,-119.94868509952504,576.4905564900342,45.97145918996502,4.872389791183296,-45.45454545454545,25.90401051939557,0.0,0.0,51.86184304086999,10500.0,0.0,1411548.8810159964,232920.21504754765,229200.0,225479.78495245235,226833.33333333334,-1194967026.497161,0.0,226000.0,231500.0,0.10243613946872561
2021-04-13,230000.0,4000.0,8700,442700,-464800,13400,143100,-300,1400,-28800,-1900,-104900,226500.0,230000.0,226000.0,634607.0,1.74,0.5,2.749,0.25,34035.99,13897.25,4.245,63.38,228050.0,226050.0,0.0,227148.84130603555,227009.60018880243,227073.51324358128,5971.518048343051,-3495239.2280988023,-12500.0,1134926.0,-102936.53644953435,56.25,27.17105263157895,31.174734676196664,610.8690576935769,26.657954839969833,584.211102853607,51.361062891273235,4.783599088838275,-30.90909090909091,40.57971014492777,0.0,0.0,57.42394018296062,10500.0,0.0,1422780.8633168815,232920.21504754765,229200.0,225479.78495245235,228666.66666666666,472733518.53982073,24.588139537212463,230000.0,231500.0,0.05115267151004939
2021-04-14,232500.0,2500.0,178000,105000,-300300,17300,386800,-3000,-56200,-19400,-1800,-128400,231000.0,237000.0,230500.0,940909.0,1.08,0.5,2.727,0.25,34200.67,13794.25,4.221,62.44,229500.0,226075.0,0.0,227675.48114572125,227366.69505977238,227330.43656961923,6044.981044889976,-3857127.3050218793,-10000.0,2075835.0,-141016.81702456577,60.86956521739131,40.794241037376054,30.811909672194446,901.1787933465384,201.98603983900134,699.1927535075371,54.4213340182595,6.65137614678899,-21.818181818181817,82.36874940013443,0.0,0.0,64.15588730054216,14500.0,0.0,1433008.1350560118,234286.93797647188,229700.0,225113.06202352812,233333.33333333334,3972222606.0118456,24.570505725636284,230000.0,232500.0,0.09877440960794992
2021-04-15,230500.0,-2000.0,-504500,263200,284900,-43600,-84100,-39200,26800,7800,-11300,-404500,232500.0,232500.0,229000.0,555364.0,-0.87,0.5,2.692,0.25,34077.63,13919.25,4.2875,61.35,230650.0,225900.0,0.0,227951.38788442942,227566.995398974,227476.4529861168,5863.196684540692,-3936465.0193075933,-12000.0,1520471.0,-169019.2211666638,43.47826086956522,53.532608695652186,40.4993007882024,974.0291027835046,356.69390095237765,617.335201831127,51.62303553153382,5.251141552511407,-29.09090909090909,46.74483528754862,0.0,20.261425037146317,67.9654670166535,11500.0,0.0,1428230.810324829,233835.89667773576,229500.0,225164.10332226424,230666.66666666666,-1890651896.7740076,24.444557787431844,230500.0,232500.0,0.03924714285863053
2021-04-16,231500.0,1000.0,-467400,276500,470100,-279100,-383200,-17100,-97700,-19600,-3000,53100,231500.0,233500.0,230500.0,577562.0,0.43,0.5,2.749,0.25,33821.3,13750.25,4.2795,61.43,230450.0,226000.0,0.0,228295.6938289775,227814.38331689747,227657.0327550694,5658.682635644929,-4128985.68597426,-11000.0,2098033.0,-226365.9421490375,52.17391304347826,52.17391304347827,48.83358759216884,1091.628552744456,503.90863507797684,587.7199176664792,52.92637394374269,-0.8565310492505307,-29.78723404255319,58.33333333333343,0.0,20.65690979516862,74.92185110386332,-2000.0,47.805706911163,1430736.5022987986,234545.22215417857,230100.0,225654.77784582143,231833.33333333334,649280942.9983275,24.440671102793747,230500.0,231500.0,-0.1504245080277365
