일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,296500.0,-5000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,299500.0,301000.0,289000.0,522711.0,-1.69,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,296500.0,296500.0,296500.0,0.0,130677.75,0.0,522711.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522711.0,0.0,0.0,0.0,295500.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,290000.0,-6500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,302000.0,302000.0,289000.0,396091.0,-2.24,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,293095.2380952381,293170.7317073171,293217.8217821782,0.0,-204476.17307692306,-12000.0,126620.0,0.0,7.6923076923076925,35.09615384615385,48.79807692307692,-145.83333333337214,-81.01851851854008,-64.81481481483206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514027.7234401349,0.0,0.0,0.0,293666.6666666667,1641037034.4188583,0.0,290000.0,1000.0,0.0
2021-03-11,294000.0,4000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,290000.0,299000.0,289500.0,458085.0,1.36,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,293425.9818731118,293460.7454401269,293483.7276173049,0.0,-228585.90991902832,-7500.0,584705.0,0.0,38.46153846153847,36.21794871794872,44.60470085470086,-61.78085201076465,-73.1342289661731,11.35337695540845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520346.1372332383,0.0,0.0,0.0,294166.6666666667,-2592313653.5795755,0.0,290000.0,294000.0,0.0
2021-03-12,303500.0,9500.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,298000.0,305000.0,296500.0,328406.0,3.13,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,296315.12605042016,296157.1155128912,296062.66001036484,0.0,-16087.909919028316,2000.0,913111.0,0.0,90.625,45.59294871794872,38.9690170940171,320.95583769876976,60.36511611002704,260.5907215887427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530957.8957366396,0.0,0.0,0.0,301666.6666666667,16823687752.355314,0.0,303500.0,294000.0,0.0
2021-03-15,302000.0,-1500.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,303000.0,308000.0,299000.0,390170.0,-0.5,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,297678.4491654518,297442.40986041195,297297.61738041614,0.0,-146144.57658569497,-4000.0,522941.0,0.0,68.42105263157895,65.8358636977058,49.21558704453442,462.4838496200973,179.98634811564048,282.49750150445686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529029.5431830976,307211.9928086271,297200.0,287188.0071913729,303000.0,6343388779.250071,0.0,303500.0,302000.0,0.0
2021-03-16,303500.0,1500.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,303000.0,307000.0,302000.0,361641.0,0.49,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,298893.6046534233,298579.0299291271,298383.1912976465,0.0,-290800.97658569494,-2500.0,884582.0,0.0,76.31578947368422,78.45394736842105,63.29425326135853,603.0090976947686,294.6490328614792,308.36006483328936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530825.773315548,309724.7471881387,298600.0,287475.2528118613,304166.6666666667,1382586598.3115852,0.0,303500.0,302000.0,0.0
2021-03-17,296000.0,-7500.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,302000.0,303000.0,296000.0,311682.0,-2.53,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,298353.275280903,298154.54661091854,298022.1799749335,0.0,-602482.9765856949,-10000.0,572900.0,0.0,35.13513513513514,59.957325746799434,68.0823789376421,342.980047990568,306.88032343649445,36.09972455407353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523123.5822117588,307814.9859638056,299800.0,291785.0140361944,298333.3333333333,-11229394061.89642,0.0,296000.0,302000.0,0.0
2021-03-18,298500.0,2500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,301000.0,305000.0,298500.0,422731.0,0.84,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,298378.2777089258,298205.45058699715,298086.12812752556,0.0,-1025213.9765856949,-7500.0,995631.0,0.0,20.833333333333336,44.09475264738423,60.835341920868245,282.00744548486546,300.9029031301444,-18.895457645278952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526693.9453874344,306653.1504264549,300700.0,294746.8495735451,300666.6666666667,3459646914.94118,0.0,296000.0,298500.0,0.0
2021-03-19,300000.0,1500.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,295500.0,304000.0,294000.0,527826.0,0.5,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,298634.2747387903,298445.90325407893,298316.00935255183,0.0,-919648.7765856949,-1500.0,1523457.0,0.0,42.857142857142854,32.94187044187044,45.66464961201803,309.9146612230106,302.98466395715894,6.929997265851682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529346.3373472334,305253.5702146255,300000.0,294746.4297853745,299333.3333333333,-5210050281.721627,0.0,296000.0,300000.0,0.0
2021-03-22,292000.0,-8000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,300000.0,300500.0,291500.0,472483.0,-2.74,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,297600.0,0.0,0.0,297652.7314095871,297650.8804339,297626.6570082533,0.0,-1339633.6654745839,-10000.0,1050974.0,-482404.1731591561,3.225806451612903,22.305427547363028,33.11401687887257,-86.8723675722722,215.63405772494434,-302.50642529721654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516746.79068056674,305720.1036262475,298000.0,290279.8963737525,294666.6666666667,-5714491315.03144,0.0,292000.0,300000.0,0.0
