일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,72500.0,100.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,72000.0,72500.0,71100.0,1993027.0,0.14,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,72500.0,72500.0,72500.0,0.0,1993027.0,0.0,1993027.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993027.0,0.0,0.0,0.0,72033.33333333333,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,71900.0,-600.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,73200.0,73300.0,71800.0,1568800.0,-0.83,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,72185.71428571429,72192.68292682928,72197.0297029703,0.0,633400.3333333333,-1400.0,424227.0,0.0,36.36363636363637,68.18181818181819,84.0909090909091,-13.461538461531745,-7.4786324786287475,-5.982905982902998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980043.8275862068,0.0,0.0,0.0,72333.33333333333,71710861.80520143,0.0,71900.0,1000.0,0.0
2021-03-11,72500.0,600.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,72000.0,72700.0,72000.0,1667660.0,0.83,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,72300.60422960726,72300.15860428232,72300.02614037381,0.0,1348111.7619047617,-800.0,2091887.0,0.0,63.63636363636363,66.66666666666667,78.28282828282829,1.4532921597565291,-3.8180076268315033,5.271299786588033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993960.3227183348,0.0,0.0,0.0,72400.0,-8394996.582037106,0.0,71900.0,72500.0,0.0
2021-03-12,72800.0,300.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,73100.0,73400.0,72700.0,1165120.0,0.41,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,72443.82676147383,72434.40735477509,72428.7565435626,0.0,515883.1904761902,-500.0,3257007.0,0.0,73.91304347826086,57.971014492753625,64.2731664470795,19.032618746292428,3.922719464335139,15.10989928195729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998781.5089252314,0.0,0.0,0.0,72966.66666666667,42055753.913759954,0.0,72800.0,72500.0,0.0
2021-03-15,73100.0,300.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,72800.0,73100.0,72600.0,1303584.0,0.41,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,72601.18753173576,72580.8217613146,72568.37412569083,0.0,1819467.1904761903,0.0,4560591.0,0.0,86.95652173913044,74.83530961791831,66.49099692577954,40.12196776227211,14.69117743016598,25.430790332106127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004153.4210131434,73355.9899496853,72560.0,71764.0100503147,72933.33333333333,-7671158.897316936,0.0,72800.0,73100.0,0.0
2021-03-16,73800.0,700.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,73200.0,73800.0,73200.0,1122434.0,0.95,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,72851.42043208507,72809.58310394397,72783.93982147916,0.0,2941901.1904761903,700.0,5683025.0,0.0,100.0,86.95652173913044,73.25428194993412,81.97777683046297,32.92958693020311,49.048189900259864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014901.7630104073,74081.11062163475,72820.0,71558.88937836525,73600.0,34745918.24552713,0.0,73800.0,73100.0,0.0
2021-03-17,73500.0,-300.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,74200.0,74200.0,73500.0,1129037.0,-0.41,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,72972.53116866975,72923.21903025689,72892.41027135248,0.0,1812864.1904761903,0.0,4553988.0,0.0,68.18181818181817,85.04611330698286,82.27931488801053,93.81777073162084,48.33876190140784,45.479008830213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010312.1817095943,74074.66571564383,73140.0,72205.33428435617,73733.33333333333,21699908.860382788,0.0,73800.0,73500.0,0.0
2021-03-18,73600.0,100.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,73700.0,74200.0,73600.0,1293970.0,0.14,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,73079.4541492584,73022.94548651153,72987.10922402581,0.0,518894.1904761903,100.0,5847958.0,0.0,62.5,76.89393939393939,82.9655248133509,105.00436589607853,61.95657213824651,43.04779375783202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012072.6851109548,74082.21880341071,73360.0,72637.78119658929,73800.0,2318446.3318314953,0.0,73800.0,73600.0,0.0
2021-03-19,72700.0,-900.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,73100.0,73500.0,72700.0,2026932.0,-1.24,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,73019.5554010482,72979.67384239235,72952.62362387429,0.0,-1508037.8095238097,-800.0,3821026.0,0.0,6.25,45.6439393939394,69.19466403162055,66.50091043993598,63.006336830515345,3.494573609420634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987286.8318500852,74125.87530817554,73340.0,72554.12469182446,72966.66666666667,-31574813.560593054,0.0,73800.0,72700.0,0.0
2021-03-22,73300.0,600.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,73100.0,73600.0,73000.0,1212920.0,0.82,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,72970.0,0.0,0.0,73061.04728013827,73019.18213086027,72990.53755114537,0.0,-1508037.8095238097,-200.0,5033946.0,-1363112.4243973512,40.0,36.25,52.92929292929293,69.12568584215478,64.3774262368452,4.748259605309585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997297.1757290398,74132.59550888908,73380.0,72627.40449111092,73300.0,9893480.196550474,0.0,73300.0,72700.0,0.0
