일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,83500.0,700.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,82800.0,84000.0,81600.0,4997972.0,0.84,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,83500.0,83500.0,83500.0,0.0,2915483.666666667,0.0,4997972.0,0.0,79.16666666666666,79.16666666666666,79.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4997972.0,0.0,0.0,0.0,83033.33333333333,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,80700.0,-2800.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,84300.0,84400.0,80300.0,4286802.0,-3.47,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,82033.33333333333,82065.8536585366,82086.13861386139,0.0,-534869.162601626,-3700.0,711170.0,0.0,9.75609756097561,44.46138211382113,61.814024390243894,-62.82051282051543,-34.90028490028635,-27.92022792022908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854222.950898204,0.0,0.0,0.0,81800.0,-43039076.68233802,0.0,80700.0,1000.0,0.0
2021-03-11,82300.0,1600.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,81300.0,83300.0,81000.0,3215853.0,1.94,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,82130.81570996979,82147.73988897701,82158.84198144035,0.0,-115410.07564510428,-2100.0,3927023.0,0.0,48.78048780487805,45.9010840108401,56.50971093044263,-30.429898117028642,-33.06815916944303,2.6382610524143857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4917982.118184449,0.0,0.0,0.0,82200.0,-14304136.41419555,0.0,82300.0,1000.0,0.0
2021-03-12,82800.0,500.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,83100.0,83300.0,82100.0,2466296.0,0.6,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,82322.732169791,82322.92566920914,82323.9236725084,0.0,295639.25768822903,-1400.0,6393319.0,0.0,60.97560975609756,39.83739837398374,43.399954832881654,3.1000575300422497,-20.81605324143311,23.91611077147536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932965.690480925,0.0,0.0,0.0,82733.33333333333,26760778.106115405,0.0,82800.0,1000.0,0.0
2021-03-15,85800.0,3000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,83300.0,86200.0,82500.0,5264840.0,3.5,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,83156.63625493439,83087.79856600096,83046.94207586591,0.0,4422135.473904446,1900.0,11658159.0,0.0,93.22033898305084,67.65881218134216,51.132431522055334,140.63137415722304,27.21090636073732,113.42046779648572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5123720.762944694,86355.62587830231,83020.0,79684.37412169769,84833.33333333333,115957939.84242636,0.0,82800.0,85800.0,0.0
2021-03-16,85800.0,0.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,85900.0,86400.0,84400.0,3004434.0,0.0,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,83708.39609570726,83596.70433698317,83528.79688205406,0.0,5623909.073904445,1900.0,11658159.0,0.0,90.1639344262295,81.4532943884593,62.98316831459507,220.66294460423524,79.64716444998452,141.0157801542507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5123720.762944694,87514.64992285577,83480.0,79445.35007714423,85533.33333333333,69896692.68820684,0.0,85800.0,85800.0,0.0
2021-03-17,84600.0,-1200.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,85300.0,85400.0,83700.0,2777471.0,-1.42,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,83874.88731888567,83761.83707444069,83691.06520473796,0.0,5787289.720963269,700.0,8880688.0,0.0,66.66666666666666,83.350313358649,77.48747330948349,213.82510582554096,113.60402187038699,100.22108395515397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5084875.014692945,87203.73911887585,84260.0,81316.26088112415,84566.66666666667,-52025745.723357685,0.0,84600.0,85800.0,0.0
2021-03-18,87700.0,3100.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,85900.0,88000.0,85100.0,5872657.0,3.53,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,84526.70049036242,84342.14156034909,84227.59352203363,0.0,10444914.238204647,3800.0,14753345.0,0.0,94.91525423728814,83.91528511006143,82.90629761905657,353.23750801189453,171.19245489889693,182.0450531129976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300066.937860794,88563.91066873758,85340.0,82116.08933126242,86933.33333333333,98762791.69718239,0.0,84600.0,87700.0,0.0
2021-03-19,87500.0,-200.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,86500.0,88600.0,86000.0,4066688.0,-0.23,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,84996.0507900742,84765.26475694595,84620.65265036818,0.0,11070558.545896955,2700.0,10686657.0,0.0,81.9672131147541,81.18304467290297,82.8162143805378,434.4805876620667,232.01331974635124,202.46726791571544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290792.848921227,88610.32186618072,86280.0,83949.67813381928,87366.66666666667,47950568.1281672,0.0,87500.0,87700.0,0.0
2021-03-22,86100.0,-1400.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,87300.0,87700.0,86000.0,2875148.0,-1.63,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,84680.0,0.0,0.0,85159.38047198293,84929.8879191775,84782.11402678119,0.0,8533663.251779309,1100.0,7811509.0,2683621.740992613,48.97959183673469,75.28735306292565,80.12856094863001,413.6779675829166,272.7167464800764,140.96122110284023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5244790.4809212275,88632.94570367465,86340.0,84047.05429632535,86600.0,-26607325.95330745,0.0,86100.0,87700.0,0.0
2021-03-23,83500.0,-2600.0,-540900,-476900,1017000,800,-69100,-19100,-113900,0,1000,-339900,86600.0,87100.0,83500.0,3263690.0,-3.11,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,84680.0,0.0,0.0,84927.12280718224,84765.9425653245,84653.67895450488,0.0,5269973.251779309,-2500.0,4547819.0,1023772.9719762681,0.0,43.6489349838296,66.70644423988607,254.32768458433566,268.69332481121245,-14.365640226876792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5146235.3821988115,89140.42941957037,85880.0,82619.57058042963,84700.0,-170972120.51389682,0.0,86100.0,83500.0,0.0
