일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,636000.0,-14000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,639000.0,649000.0,613000.0,678006.0,-2.2,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,636000.0,636000.0,636000.0,0.0,188335.0,0.0,678006.0,0.0,63.888888888888886,63.888888888888886,63.888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678006.0,0.0,0.0,0.0,632666.6666666666,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,636000.0,0.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,666000.0,667000.0,636000.0,458534.0,0.0,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,636000.0,636000.0,636000.0,0.0,-270199.0,0.0,678006.0,0.0,42.592592592592595,53.24074074074074,58.56481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678006.0,0.0,0.0,0.0,646333.3333333334,138593866539.8858,0.0,636000.0,1000.0,0.0
2021-03-11,687000.0,51000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,649000.0,690000.0,643000.0,709286.0,7.42,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,654643.504531722,653835.8445678032,653337.7336295908,0.0,348539.85106382985,51000.0,1387292.0,0.0,96.1038961038961,67.52845919512586,61.552696274918496,1581.5069483254338,648.158585379276,933.3483629461577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734882.7075471698,0.0,0.0,0.0,673333.3333333334,99395730354.18716,0.0,636000.0,687000.0,0.0
2021-03-12,689000.0,2000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,704000.0,710000.0,683000.0,410178.0,0.29,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,664496.6602025426,663280.3282967431,662519.8495344535,0.0,120663.18439716316,57000.0,1797470.0,0.0,78.35051546391753,72.34900138680207,64.37273377422288,2334.2578298965236,1219.3304161778017,1114.927413718722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736076.8210842877,0.0,0.0,0.0,694000.0,197475242455.71432,0.0,689000.0,687000.0,0.0
2021-03-15,686000.0,-3000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,689000.0,703000.0,681000.0,279236.0,-0.44,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,669653.5028091266,668278.1107588386,667403.6838639615,0.0,-31647.36105738228,40000.0,1518234.0,0.0,75.25773195876289,83.2373811755255,74.37161391915114,2574.772492270451,1622.5437895989849,952.2287026714662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734860.9894442296,717133.2891832036,666800.0,616466.7108167964,690000.0,-35453881304.702835,0.0,686000.0,687000.0,0.0
2021-03-16,680000.0,-6000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,695000.0,702000.0,667000.0,499953.0,-0.88,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,671813.1683690593,670477.5554633735,669608.357952802,0.0,-160206.7039145251,18000.0,1018281.0,0.0,59.45945945945946,71.02256896071329,75.53631717434695,2414.393745897687,1837.1791537618303,577.2145921358567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730488.2226803813,715651.9662438687,675600.0,635548.0337561313,683000.0,-52504935463.93361,0.0,686000.0,680000.0,0.0
2021-03-17,639000.0,-41000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,680000.0,680000.0,631000.0,863521.0,-6.42,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,665685.8908730535,665296.6550630787,664971.7331877125,0.0,-741761.6630981986,-23000.0,154760.0,0.0,10.126582278481013,48.28125789890112,67.5137360117133,412.585111309425,1476.6524063278912,-1064.0672950184662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678422.9859156754,713880.7643234582,676200.0,638519.2356765418,650000.0,-164558823699.71313,0.0,686000.0,639000.0,0.0
2021-03-18,662000.0,23000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,655000.0,669000.0,653000.0,533133.0,3.47,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,665057.8016061557,664810.8793961602,664574.0168146401,0.0,-675120.0380981986,0.0,687893.0,0.0,39.24050632911392,36.27551602235146,51.859780960655286,157.55274450290017,1159.6479519167071,-1002.095207413807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697612.4366199007,708453.7246460002,671200.0,633946.2753539998,661333.3333333334,16506200141.428125,0.0,662000.0,639000.0,0.0
2021-03-19,661000.0,-1000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,645000.0,661000.0,642000.0,323839.0,-0.15,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,664417.2571894742,664300.2575608994,664144.7303114888,0.0,-351281.0380981986,-1000.0,364054.0,0.0,41.66666666666667,30.344585091420537,38.30045300422437,-71.06324621278327,875.3475595590568,-946.41080577184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697123.2538404446,698647.8441051757,665600.0,632552.1558948243,654666.6666666666,-55737573300.31281,0.0,661000.0,639000.0,0.0
2021-03-22,642000.0,-19000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,661000.0,662000.0,639000.0,386142.0,-2.96,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,661800.0,0.0,0.0,661100.6159408527,661549.7952970476,661727.7735113988,0.0,-636690.3424460246,-21000.0,-22088.0,-244266.5862454864,15.492957746478872,32.13337691408649,32.917826009286166,-1210.8809435575968,407.9112694625215,-1618.7922130201182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686023.8620098849,686717.2191221042,656800.0,626882.7808778958,647666.6666666666,-5956358023.732203,0.0,661000.0,642000.0,0.0
