일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,119500.0,0.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,120000.0,120500.0,117000.0,589778.0,0.0,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,119500.0,119500.0,119500.0,0.0,252762.0,0.0,589778.0,0.0,71.42857142857143,71.42857142857143,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589778.0,0.0,0.0,0.0,119000.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,118000.0,-1500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,121000.0,121500.0,117500.0,456026.0,-1.27,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,118714.28571428571,118731.70731707316,118742.57425742573,0.0,-89257.5,-3500.0,133752.0,0.0,22.22222222222222,46.82539682539682,59.12698412698413,-33.653846153843915,-18.696581196579952,-14.957264957263963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584053.8242677824,0.0,0.0,0.0,119000.0,657857227.4387864,0.0,118000.0,1000.0,0.0
2021-03-11,120000.0,2000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,118000.0,121500.0,118000.0,619127.0,1.67,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,119184.29003021149,119175.25773195874,119170.04313161677,0.0,-810.7857142857247,-1500.0,752879.0,0.0,66.66666666666666,53.439153439153436,57.2310405643739,19.138200481029344,-3.19052313198598,22.328723613015324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594547.5022338841,0.0,0.0,0.0,119833.33333333333,141328031.24399358,0.0,118000.0,120000.0,0.0
2021-03-12,123500.0,3500.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,121000.0,123500.0,121000.0,530000.0,2.83,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,120421.99956905839,120336.80867724252,120284.89560385168,0.0,529189.2142857143,2000.0,1282879.0,0.0,100.0,62.962962962962955,54.40917107583774,169.04619642232137,55.1552490747577,113.89094734756367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610005.8355672174,0.0,0.0,0.0,122666.66666666667,1179245283.018868,0.0,123500.0,120000.0,0.0
2021-03-15,122500.0,-1000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,123500.0,123500.0,121500.0,309972.0,-0.82,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,120920.33709521545,120812.65884780131,120745.63383077348,0.0,529189.2142857143,1000.0,972907.0,0.0,84.61538461538461,83.76068376068376,66.72093338760006,207.15280976745998,100.37108697715604,106.78172279030395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607495.9408303753,124729.88833592198,120700.0,116670.11166407802,122500.0,161304892.05476624,0.0,122500.0,120000.0,0.0
2021-03-16,124000.0,1500.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,123000.0,126000.0,122500.0,449368.0,1.21,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,121563.16739700422,121410.71778476285,121315.23026606502,0.0,464993.78571428574,2500.0,1422275.0,0.0,76.47058823529412,87.02865761689291,77.91743478017987,290.3071463924134,151.85431931930881,138.4528270731046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612998.4061364977,126134.31361950186,121600.0,117065.68638049814,124166.66666666667,1363025404.5681937,0.0,122500.0,124000.0,0.0
2021-03-17,122000.0,-2000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,124500.0,124500.0,121000.0,462424.0,-1.64,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,121644.73814164408,121507.70792328747,121418.96076711452,0.0,266812.0714285715,0.0,959851.0,0.0,50.0,70.36199095022624,80.38377744260099,248.0310227485752,176.1940771962834,71.83694555229181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605539.9545235945,125185.67765543683,122400.0,119614.32234456317,122500.0,-1135321696.1057384,0.0,122500.0,122000.0,0.0
2021-03-18,121500.0,-500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,122500.0,123500.0,121000.0,422784.0,-0.41,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,121620.07423367491,121506.57212912524,121429.80650182349,0.0,13141.671428571484,-2000.0,537067.0,0.0,10.0,45.49019607843136,67.6269482151835,191.91567046919954,179.97227170439217,11.94339876480737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603807.2332121191,124554.72369909914,122700.0,120845.27630090086,122000.0,-295659249.16742355,0.0,121500.0,122000.0,0.0
2021-03-19,121500.0,0.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,120000.0,122000.0,119500.0,353998.0,0.0,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,121601.11991125287,121505.69152591359,121438.23766567608,0.0,225540.47142857147,-2000.0,537067.0,0.0,30.76923076923077,30.256410256410252,48.70286576168928,150.13676539127482,173.08012173135197,-22.943356340077145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603807.2332121191,124154.72369909914,122300.0,120445.27630090086,121000.0,-1059328018.8023663,0.0,121500.0,122000.0,0.0
2021-03-22,120000.0,-1500.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,121500.0,121500.0,120000.0,324403.0,-1.25,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,121250.0,0.0,0.0,121364.23364560642,121319.98301058738,121281.26315041643,0.0,-98862.52857142853,-3500.0,212664.0,-131485.57188683498,7.6923076923076925,16.15384615384615,30.633484162895922,41.05159546301002,143.49806760181167,-102.44647213880165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599802.2579034771,124376.81974534503,121800.0,119223.18025465497,120500.0,0.0,0.0,120000.0,122000.0,0.0
