일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,35900.0,650.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,35900.0,36450.0,35350.0,5756996.0,1.81,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,35900.0,35900.0,35900.0,0.0,0.0,0.0,5756996.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5756996.0,0.0,0.0,0.0,35900.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,35600.0,-300.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,35650.0,35700.0,34850.0,2564721.0,-0.84,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,35742.85714285714,35746.34146341463,35748.514851485146,0.0,1961257.2352941176,-300.0,3192275.0,0.0,46.875,48.4375,49.21875,-6.730769230765873,-3.7393162393143737,-2.991452991451499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5735563.791086351,0.0,0.0,0.0,35383.333333333336,-20713754.04966076,0.0,35600.0,1000.0,0.0
2021-03-11,35400.0,-200.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,35650.0,36350.0,35400.0,3253770.0,-0.56,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,35617.522658610265,35625.21808088818,35630.03528950464,0.0,-1292512.7647058824,-1250.0,-61495.0,0.0,34.375,43.75,47.395833333333336,-14.778324001745204,-8.263499748507337,-6.514824253237867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5717284.184344778,0.0,0.0,0.0,35716.666666666664,17518140.49548677,0.0,35600.0,35400.0,0.0
2021-03-12,34950.0,-450.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,35200.0,35250.0,34600.0,2204205.0,-1.29,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,35426.08274078862,35443.86618717555,35454.94370158442,0.0,-1122958.5339366517,-1700.0,-2265700.0,0.0,18.91891891891892,33.38963963963964,41.859046546546544,-34.323409075776,-17.091382311945228,-17.23202676383077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689264.629260032,0.0,0.0,0.0,34933.333333333336,-28014635.66229094,0.0,34950.0,35400.0,0.0
2021-03-15,35150.0,200.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,35300.0,35550.0,34850.0,1986955.0,0.57,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,35359.8737121423,35379.22267930926,35391.51589176052,0.0,-1406809.248222366,-1400.0,-278745.0,0.0,29.72972972972973,27.67454954954955,34.93806306306306,-36.26286151284148,-22.794463940008132,-13.46839757283335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700634.901076914,36066.333249958305,35400.0,34733.666750041695,35183.333333333336,9688191.227279933,0.0,35150.0,35400.0,0.0
2021-03-16,35200.0,50.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,35000.0,35400.0,34950.0,1380687.0,0.14,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,35326.50263556607,35345.59410930409,35357.99576416087,0.0,-1253399.5815556992,-1150.0,1101942.0,0.0,34.285714285714285,27.644787644787645,29.569658944658944,-34.60908493223542,-25.996883109121693,-8.612201823113725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5702598.893964538,35704.522215417855,35260.0,34815.477784582145,35183.333333333336,-814811.7567558758,0.0,35200.0,35400.0,0.0
2021-03-17,35500.0,300.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,35300.0,35550.0,35000.0,1650097.0,0.85,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,35358.900192691784,35371.007821682266,35379.50689382208,0.0,96679.78208066453,-650.0,2752039.0,0.0,51.42857142857142,38.481338481338476,31.26689189189189,-19.361866920597095,-24.317737517931125,4.95587059733403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716662.220669084,35626.78159211628,35240.0,34853.21840788372,35350.0,3333137.3852567454,0.0,35200.0,35500.0,0.0
2021-03-18,35500.0,0.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,35200.0,36000.0,34750.0,2974612.0,0.0,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,35382.94411520168,35390.015349085224,35395.63286413713,0.0,691602.1820806646,-650.0,2752039.0,0.0,64.28571428571429,50.0,38.708708708708706,-8.826826074568089,-20.594980191436726,11.768154116868637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716662.220669084,35686.14551505325,35260.0,34833.85448494675,35416.666666666664,4202228.727645824,0.0,35200.0,35500.0,0.0
2021-03-19,35450.0,-50.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,36100.0,36200.0,35100.0,3265386.0,-0.14,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,35393.529224278485,35398.052725594294,35402.16307338105,0.0,-495810.9088284265,-1400.0,-513347.0,0.0,48.275862068965516,54.66338259441708,47.714907025251854,-3.8778864640844404,-16.733248606488708,12.855362142404267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5712063.085457817,35665.94117081557,35360.0,35054.05882918443,35583.333333333336,9263835.883414702,0.0,35200.0,35450.0,0.0
2021-03-22,35600.0,150.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,35500.0,35900.0,35250.0,2058874.0,0.42,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,35425.0,0.0,0.0,35424.07664966621,35422.96043601082,35423.75571860069,0.0,-337435.9857515034,-1050.0,1545527.0,13209.982066101511,58.620689655172406,57.06075533661741,53.908045977011504,7.415578969375929,-11.322509391978087,18.738088361354016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720774.823116491,35718.32815729998,35450.0,35181.67184270002,35583.333333333336,-2367799.0979535417,0.0,35600.0,35450.0,0.0
