일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,49400.0,-500.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,49550.0,49950.0,47950.0,896828.0,-1.01,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,49400.0,49400.0,49400.0,0.0,403572.60000000003,0.0,896828.0,0.0,72.5,72.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896828.0,0.0,0.0,0.0,49100.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,47950.0,-1450.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,49100.0,49300.0,47900.0,1041799.0,-3.02,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,48640.47619047619,48657.317073170736,48667.82178217822,0.0,-563812.1857142858,-1450.0,-144971.0,0.0,2.4390243902439024,37.46951219512195,54.984756097560975,-32.532051282054454,-18.073361823363584,-14.45868945869087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866248.8795546559,0.0,0.0,0.0,48383.333333333336,-47034024.797489725,0.0,1000.0,47950.0,0.0
2021-03-11,49000.0,1050.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,47600.0,49200.0,47550.0,672818.0,2.14,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,48771.90332326284,48777.16098334655,48780.74761469088,0.0,-54101.57965367974,0.0,527847.0,0.0,60.416666666666664,45.11856368563685,51.69602529358627,-8.891853345885465,-14.310448512921731,5.4185951670362655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880982.1204305682,0.0,0.0,0.0,48583.333333333336,-55178369.18750688,0.0,49000.0,47950.0,0.0
2021-03-12,50500.0,1500.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,49150.0,50700.0,49100.0,805218.0,2.97,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,49267.50700280112,49239.885734172436,49223.410862944744,0.0,549811.9203463203,1500.0,1333065.0,0.0,93.65079365079364,52.1688282359014,44.91896803888673,56.23501753980236,9.587067087594555,46.6479504522078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905631.6510428131,0.0,0.0,0.0,50100.0,303023529.03188944,0.0,49000.0,50500.0,0.0
2021-03-15,50400.0,-100.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,50900.0,51100.0,50000.0,410630.0,-0.2,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,49539.09682069089,49495.0830278441,49468.139551021435,0.0,437821.92034632026,800.0,922435.0,0.0,80.28169014084507,78.11638348610178,58.467925135880016,86.46086621862196,32.45528434456367,54.00558187405829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904818.5223299417,51338.915032498815,49450.0,47561.084967501185,50500.0,174122689.5258505,0.0,50400.0,50500.0,0.0
2021-03-16,50900.0,500.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,50500.0,51400.0,50500.0,380699.0,0.98,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,49823.163560625784,49758.69558475762,49718.751364555304,0.0,395522.0314574314,1300.0,1303134.0,0.0,87.01298701298701,86.98182360154192,72.42234510784837,124.38581629979308,57.373569743131796,67.01224655666128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908595.2981235925,51960.88217686968,49750.0,47539.11782313032,50933.333333333336,94562896.14629932,0.0,50900.0,50500.0,0.0
2021-03-17,51600.0,700.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,51000.0,52000.0,50900.0,454635.0,1.36,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,50154.95626673113,50061.75643689697,50003.72725335809,0.0,519513.395093795,2000.0,1757769.0,0.0,91.01123595505618,86.10197103629609,83.73339270797993,178.27613345029386,87.97078323051306,90.30535021978079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914847.6458642605,52183.64315512375,50480.0,48776.35684487625,51500.0,120976167.6949641,0.0,50900.0,51600.0,0.0
2021-03-18,52300.0,700.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,51900.0,52400.0,51600.0,473174.0,1.34,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,50520.47955331077,50391.5708211101,50311.04463708399,0.0,874393.895093795,2700.0,2230943.0,0.0,96.96969696969697,91.66463997924673,88.24947820569491,244.8366681697371,125.6686052450287,119.1680629247084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921266.6729960435,52574.43368616329,51140.0,49705.56631383671,52100.0,92989048.42616035,0.0,50900.0,52300.0,0.0
2021-03-19,53600.0,1300.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,51600.0,53600.0,51200.0,1054353.0,2.43,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,51006.59736281402,50821.47001899074,50706.09150451424,0.0,1928746.895093795,5100.0,3285296.0,0.0,100.0,95.99364430825104,91.25341844126461,351.7010245657293,177.88321546072515,173.81780910500416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947474.3001470951,54003.56858598083,51760.0,49516.43141401917,52800.0,91051099.58429481,0.0,50900.0,53600.0,0.0
2021-03-22,53500.0,-100.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,53600.0,53600.0,52600.0,388251.0,-0.19,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,50915.0,0.0,0.0,51375.49717807759,51151.83372063154,51011.02888880428,0.0,2239347.6950937947,5000.0,2897045.0,779657.1051512994,96.7741935483871,97.91463017269469,95.19097148673082,417.2399467351206,231.5130179053717,185.7269288297489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946749.9512664981,54486.75105316219,52380.0,50273.24894683781,53233.333333333336,180295736.52096194,0.0,53500.0,53600.0,0.0
