일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,129500.0,6000.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,123000.0,129500.0,121800.0,526080.0,4.63,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,129500.0,129500.0,129500.0,0.0,526080.0,0.0,526080.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526080.0,0.0,0.0,0.0,126933.33333333333,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,133200.0,3700.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,133800.0,138500.0,129700.0,873371.0,2.78,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,131438.0952380952,131395.1219512195,131368.31683168316,0.0,347435.93181818177,3700.0,1399451.0,0.0,68.26347305389223,84.13173652694611,92.06586826347305,83.01282051281305,46.118233618229475,36.894586894583576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551033.4571428571,0.0,0.0,0.0,133800.0,8514136604.031963,0.0,1000.0,133200.0,0.0
2021-03-11,129100.0,-4100.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,131000.0,131600.0,127700.0,452715.0,-3.18,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,130583.38368580058,130592.46629659,130597.1899098157,0.0,219747.0856643356,-400.0,946736.0,0.0,43.712574850299404,70.65868263473054,84.93013972055888,-21.36594438381144,18.460783617393037,-39.82672800120447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537098.535971686,0.0,0.0,0.0,129466.66666666667,-3833537656.141281,0.0,129100.0,133200.0,0.0
2021-03-12,130200.0,1100.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,129700.0,132800.0,127300.0,508253.0,0.84,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,130473.43244990303,130487.05663988863,130494.9237287971,0.0,247469.9765734265,2500.0,1454989.0,0.0,50.29940119760479,54.09181636726547,69.6274118429807,-28.600746780342888,2.518530772631547,-31.119277552974435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541429.1192404699,0.0,0.0,0.0,130100.0,432855290.573789,0.0,129100.0,130200.0,0.0
2021-03-15,130100.0,-100.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,131000.0,132000.0,129500.0,215388.0,-0.08,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,130383.87741396534,130401.91346916246,130412.78021497818,0.0,135468.2165734265,600.0,1239601.0,0.0,49.700598802395206,47.90419161676647,57.5515635395875,-35.90914261719445,-8.912833277173899,-26.99630934002055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541263.6906690414,133313.85555962974,130420.0,127526.14444037025,130533.33333333333,812487232.3434918,0.0,130100.0,130200.0,0.0
2021-03-16,131000.0,900.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,133100.0,134300.0,130100.0,420681.0,0.69,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,130512.48313483958,130514.13584441619,130515.55853766477,0.0,-104920.92628371634,1500.0,1660282.0,0.0,33.035714285714285,44.345238095238095,48.78041535975668,-1.1429801835911348,-6.806771093337821,5.6637909097466865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544173.8590010937,133477.97026815012,130720.0,127962.02973184989,131800.0,1447652734.4947834,0.0,130100.0,131000.0,0.0
2021-03-17,134700.0,3700.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,132000.0,136200.0,131500.0,530557.0,2.75,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,131294.427675015,131203.08849528126,131149.42739604154,0.0,86982.66946096453,5200.0,2190839.0,0.0,83.14606741573034,55.29412683461328,49.18118551553928,188.78882088823593,42.69325522162451,146.09556566661144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559159.0567110173,134892.77678158708,131020.0,127147.22321841292,134133.33333333334,1461671413.2506027,0.0,130100.0,134700.0,0.0
2021-03-18,134600.0,-100.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,135800.0,136300.0,133400.0,310522.0,-0.07,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,131857.7092722689,131703.6373607506,131611.2283500247,0.0,33444.39359889556,3500.0,1880317.0,0.0,81.11111111111111,65.76429760418524,55.134554178012216,308.35247005245765,106.53616026811588,201.81630978434177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558928.5281289831,136298.80365655053,132120.0,127941.19634344948,134766.66666666666,933911284.8687049,0.0,134600.0,134700.0,0.0
2021-03-19,132700.0,-1900.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,132000.0,132900.0,129600.0,497591.0,-1.43,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,131990.66910501485,131837.1405411324,131742.00416854728,0.0,470721.33299283497,1600.0,1382726.0,0.0,47.05882352941176,70.43866735208441,63.83236393029431,292.1904184038576,149.42321493299627,142.76720347086135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551904.5838496368,136332.46548805508,132620.0,128907.53451194492,131733.33333333334,-2387502989.4029436,0.0,134600.0,132700.0,0.0
2021-03-22,129000.0,-3700.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,133000.0,133100.0,129000.0,300940.0,-2.87,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,131410.0,0.0,0.0,131548.19853732525,131487.2141793261,131442.7318121977,0.0,169781.33299283497,-2500.0,1081786.0,-21011.75920812899,0.0,42.723311546840954,59.64209216770354,85.88988069651532,135.18805995903358,-49.29817926251826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543513.6418752585,136757.98118398874,132400.0,128042.01881601124,130366.66666666667,-272479564.0326975,0.0,129000.0,132700.0,0.0
