일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,143900.0,-2300.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,143800.0,145700.0,140500.0,79709.0,-1.6,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,143900.0,143900.0,143900.0,0.0,24525.846153846156,0.0,79709.0,0.0,65.38461538461539,65.38461538461539,65.38461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79709.0,0.0,0.0,0.0,143366.66666666666,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,146800.0,2900.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,150000.0,150300.0,145200.0,38710.0,1.98,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,145419.0476190476,145385.36585365856,145364.35643564357,0.0,10104.473604826548,2900.0,118419.0,0.0,64.28571428571429,64.83516483516485,65.10989010989012,65.06410256409436,36.14672364671909,28.917378917375267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80489.11813759555,0.0,0.0,0.0,147433.33333333334,61263239473.004395,0.0,146800.0,1000.0,0.0
2021-03-11,146900.0,100.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,149000.0,151400.0,145200.0,55379.0,0.07,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,145960.42296072506,145915.06740682,145886.4070056202,0.0,-14905.397362915388,4600.0,173798.0,0.0,58.71559633027523,62.7953086668683,64.33836296221618,86.00557505089091,56.58067914023213,29.424895910658783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80526.84225203696,0.0,0.0,0.0,147833.33333333334,6157568753.498619,0.0,146800.0,146900.0,0.0
2021-03-12,145400.0,-1500.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,148300.0,149100.0,145300.0,59624.0,-1.03,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,145799.6983408748,145776.7292131899,145761.16971822648,0.0,-71391.29209975748,900.0,114174.0,0.0,44.95412844036697,55.98514635211884,61.20520661805066,39.26546029903693,50.71509010188687,-11.449629802849941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79918.0199239226,0.0,0.0,0.0,146600.0,-7010599758.486515,0.0,146800.0,145400.0,0.0
2021-03-15,143800.0,-1600.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,146300.0,147000.0,143000.0,47318.0,-1.11,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,145320.1389002637,145341.89623131295,145353.24950451573,0.0,-99782.09209975749,-2300.0,66856.0,0.0,30.275229357798167,44.64831804281346,54.476257687266866,-50.626737988728564,20.568187409533405,-71.19492539826197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79397.32666395011,148045.06983149415,145360.0,142674.93016850585,144600.0,-18597573861.95528,0.0,143800.0,145400.0,0.0
2021-03-16,155000.0,11200.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,144000.0,155400.0,144000.0,96231.0,7.23,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,147340.65485425,147154.1011372674,147041.67496392882,0.0,-10304.144731336433,8900.0,163087.0,0.0,96.7741935483871,57.33451711551741,52.65599383681657,375.2060321838071,116.69476082610078,258.51127135770633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86892.36977938822,155334.6373222737,147580.0,139825.3626777263,151466.66666666666,55678523552.70132,0.0,143800.0,155000.0,0.0
2021-03-17,154600.0,-400.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,155000.0,155100.0,152100.0,40374.0,-0.26,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,148696.2088698517,148379.62388929215,148186.62749940567,0.0,16611.855268663567,8400.0,122713.0,0.0,93.54838709677419,73.53260333431983,58.5051461642169,623.7132687604171,245.0076191613025,378.7056495991146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86788.17881164628,158591.8569604073,149140.0,139688.1430395927,153933.33333333334,28979045920.641994,0.0,154600.0,155000.0,0.0
2021-03-18,154800.0,200.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,155400.0,157400.0,153900.0,53891.0,0.13,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,149736.317171554,149325.6926855022,149071.7158833791,0.0,-9563.773302765003,9300.0,176604.0,0.0,81.94444444444444,90.75567502986858,73.87426515990194,789.8284810581827,375.9383176337016,413.89016342448105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86857.89549987396,160768.20381958885,150720.0,140671.79618041115,155366.66666666666,13313911413.779667,0.0,154600.0,154800.0,0.0
2021-03-19,156500.0,1700.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,151200.0,156500.0,151200.0,39591.0,1.09,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,150803.99856469876,150286.98208535704,149963.9506652009,0.0,30027.226697234997,14600.0,216195.0,0.0,93.75,89.74761051373953,84.67862962597599,977.1857527534303,514.8294579502657,462.3562948031646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87292.6803835949,162177.83524425502,152940.0,143702.16475574498,154733.33333333334,-24096385542.168674,0.0,156500.0,154800.0,0.0
2021-03-22,156800.0,300.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,156500.0,157200.0,154800.0,40406.0,0.19,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,150450.0,0.0,0.0,151691.10912952077,151090.2826727649,150710.06207378831,0.0,56964.56003056833,16600.0,256601.0,25739.898589636978,95.52238805970148,90.40561083471532,90.30296545944115,1111.3278342162666,648.4797209170717,462.8481132991949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87370.13597464921,157380.0,155540.0,153700.0,156266.66666666666,12770380636.53913,0.0,156500.0,156800.0,0.0
2021-03-23,153200.0,-3600.0,-34800,-48100,108600,-25700,-19900,9700,-31700,-500,-5100,12700,156500.0,158000.0,152500.0,39605.0,-2.35,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,151380.0,0.0,0.0,151902.30329260373,151332.17460646445,150959.49024541466,0.0,27440.83275784106,11800.0,216996.0,19163.046789880435,29.411764705882355,72.89471758852794,84.34931297899426,1000.8835134998662,725.5836571214436,275.29985637842265,0.0,6.4628214037526055,0.0,0.0,0.0,0.0,0.0,9300.0,0.0,86460.83750526146,157828.4712571595,155180.0,152531.5287428405,154566.66666666666,-10415351597.020578,0.0,153200.0,156800.0,0.0
2021-03-24,152900.0,-300.0,86100,85400,-151200,-20300,11300,8700,46000,-2200,-7000,29300,151200.0,154300.0,150400.0,46178.0,-0.2,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,151990.0,0.0,0.0,152035.41718009659,151500.641790147,151139.38614701907,0.0,40465.39686040516,10400.0,170818.0,18874.600832624936,32.89473684210527,52.60962986922971,71.96998609749099,889.8151606838219,760.8536964833258,128.96146420049604,0.0,4.155313351498635,0.0,0.0,0.0,0.0,0.0,6100.0,0.0,86370.41061231107,158071.34646857932,154840.0,151608.65353142068,152533.33333333334,-24492182424.53116,0.0,153200.0,152900.0,-0.07216787356015186
2021-03-25,152900.0,0.0,42400,-90400,53900,-5900,-6600,10000,30700,400,-2900,10800,151300.0,154200.0,151200.0,40185.0,0.0,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,152590.0,0.0,0.0,152146.06690106075,151642.51774155046,151291.4865317403,0.0,45823.39686040516,10400.0,170818.0,18745.545592599967,32.89473684210527,31.733746130030966,52.41269786259621,795.6400987318484,768.2157077845035,27.424390947344932,0.0,4.084411164057178,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,86370.41061231107,158047.97993305424,154460.0,150872.02006694576,152766.66666666666,2612915266.8906307,0.0,152900.0,152900.0,-0.1777750261806753
