일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,283500.0,400.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,281100.0,286200.0,279900.0,30819.0,0.14,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,283500.0,283500.0,283500.0,0.0,4402.714285714285,0.0,30819.0,0.0,57.14285714285714,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30819.0,0.0,0.0,0.0,283200.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,283700.0,200.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,289900.0,289900.0,281100.0,23695.0,0.07,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,283604.7619047619,283602.43902439025,283600.9900990099,0.0,-5290.694805194807,2600.0,54514.0,0.0,38.0,47.57142857142857,52.357142857142854,4.48717948718695,2.4928774928816386,1.994301994305311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30835.716049382718,0.0,0.0,0.0,284900.0,90989660265.87888,0.0,283700.0,1000.0,0.0
2021-03-11,296400.0,12700.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,286600.0,299500.0,284900.0,59302.0,4.28,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,288282.1752265861,288078.03330689925,287952.08469481114,0.0,28828.264098914784,15300.0,113816.0,0.0,84.18367346938776,59.77551020408163,54.82993197278912,399.54379738593707,165.21866433429778,234.32513305163928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33490.405510080636,0.0,0.0,0.0,293600.0,164952278169.37036,0.0,283700.0,296400.0,0.0
2021-03-12,301100.0,4700.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,300000.0,309200.0,297900.0,37217.0,1.56,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,291958.2202111614,291575.5082509208,291337.33455486305,0.0,12689.91896617142,20000.0,151033.0,0.0,72.35494880546075,64.8462074249495,57.39771540015323,739.1231975336559,359.63076907662776,379.49242845702815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34080.553620741906,0.0,0.0,0.0,302733.3333333333,344614020474.51434,0.0,301100.0,296400.0,0.0
2021-03-15,301700.0,600.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,301100.0,302900.0,294300.0,17039.0,0.2,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,294294.45381730027,293802.6534298683,293492.752652393,0.0,24973.84919872956,27400.0,168072.0,0.0,74.40273037542661,76.98045088342504,67.20072283748539,931.9605413179379,529.885936925661,402.0746043922769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34114.507124561234,309508.56740442605,293280.0,277051.43259557395,299633.3333333333,-249838605551.969,0.0,301700.0,296400.0,0.0
2021-03-16,309200.0,7500.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,303900.0,315500.0,298300.0,35213.0,2.43,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,297405.74782810424,296691.745084023,296241.91842913954,0.0,34391.2794312877,38300.0,203285.0,0.0,81.68604651162791,76.14790856417176,72.65818895751543,1351.0685682977783,752.4720868985872,598.596481399191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34989.87172515786,315270.1157266056,298420.0,281569.8842733944,307666.6666666667,405418453412.0921,0.0,301700.0,309200.0,0.0
2021-03-17,299700.0,-9500.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,309000.0,309000.0,299300.0,73475.0,-3.17,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,297834.1587497473,297186.87467299344,296765.7566133334,0.0,-33023.9267542793,28800.0,129810.0,0.0,48.36601307189542,68.15159665298332,73.75998536686002,1166.2089343820116,857.1778455019223,309.0310888800893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32732.392747150094,310042.25622977596,301620.0,293197.74377022404,302666.6666666667,-36304865600.5444,0.0,301700.0,299700.0,0.0
2021-03-18,295100.0,-4600.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,302000.0,304200.0,295100.0,27802.0,-1.56,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,297368.248112711,296879.3651165942,296542.82318128255,0.0,-60825.9267542793,19700.0,102008.0,0.0,3.7735849056603774,44.608548163061236,62.969351126738765,804.7286654419149,844.5733212264529,-39.84465578453796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32305.668689759368,310463.49383478676,301360.0,292256.50616521324,298133.3333333333,-147291561758.14688,0.0,295100.0,299700.0,0.0
2021-03-19,295000.0,-100.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,293000.0,298200.0,288700.0,23453.0,-0.03,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,296994.4082227538,296627.5479465396,296357.5097922239,0.0,-53172.84254375299,16500.0,78555.0,0.0,23.507462686567166,25.215686888040988,45.99194390136185,537.2047224109992,773.5696500366013,-236.36492762560204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32297.72121432731,310591.105204714,300140.0,289688.894795286,293966.6666666667,-251140579030.40125,0.0,295000.0,299700.0,0.0
2021-03-22,298700.0,3700.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,293100.0,299800.0,290400.0,18762.0,1.24,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,296410.0,0.0,0.0,297246.7511384777,296883.1593963679,296613.17773476336,0.0,-38801.94892673171,24800.0,97317.0,-22005.395118379034,37.3134328358209,21.53149347601615,30.451909509039456,530.1992688562023,719.0405570209527,-188.8412881647505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32533.04121432731,309908.10493774054,299540.0,289171.89506225946,296300.0,82667093060.44131,0.0,298700.0,299700.0,0.0
