일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,161600.0,1400.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,159400.0,162800.0,158000.0,48291.0,0.87,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,161600.0,161600.0,161600.0,0.0,24145.5,0.0,48291.0,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48291.0,0.0,0.0,0.0,160800.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,161500.0,-100.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,163500.0,164200.0,160400.0,21951.0,-0.06,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,161547.61904761905,161548.78048780488,161549.50495049506,0.0,14902.973684210527,-2700.0,26340.0,0.0,56.451612903225815,65.72580645161291,70.36290322580646,-2.2435897436225787,-1.2464387464569882,-0.9971509971655905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48277.41646039604,0.0,0.0,0.0,162033.33333333334,32891440025.511368,0.0,161500.0,1000.0,0.0
2021-03-11,163000.0,1500.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,162400.0,163000.0,161200.0,34186.0,0.92,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,162078.5498489426,162056.30452022204,162042.60880930597,0.0,49088.97368421053,-900.0,60526.0,0.0,80.64516129032258,70.6989247311828,70.47491039426524,43.656131588475546,17.15625401376126,26.499877574714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48594.93348825981,0.0,0.0,0.0,162400.0,-1053062657.2281052,0.0,161500.0,163000.0,0.0
2021-03-12,166500.0,3500.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,164200.0,174700.0,163100.0,41391.0,2.1,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,163346.58478776127,163249.8042400162,163190.2723403099,0.0,31961.66333938294,2600.0,101917.0,0.0,50.898203592814376,62.66499259545426,66.36324125941665,189.82849062341847,75.64955909833348,114.17893152508499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49483.69729194079,0.0,0.0,0.0,168100.0,190572829842.2362,0.0,161500.0,166500.0,0.0
2021-03-15,168600.0,2100.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,166900.0,171000.0,163600.0,21548.0,1.25,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,164606.4372409952,164426.71889297714,164315.48717640946,0.0,39532.58225830186,7600.0,123465.0,0.0,63.47305389221557,65.0054729251175,66.12313008391818,348.82382956077345,156.91272856003027,191.91110100074317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49755.47386851737,169906.1803712907,164240.0,158573.8196287093,167733.33333333334,-54947094857.99146,0.0,168600.0,166500.0,0.0
2021-03-16,179400.0,10800.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,174800.0,180000.0,171400.0,53182.0,6.02,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,167694.35650583683,167236.24073393692,166955.6586524019,0.0,85293.83807225534,18400.0,176647.0,0.0,96.93877551020408,70.43667766507801,66.03571439521659,899.6591858570755,358.2383143916953,541.4208714653802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53162.150025101,180437.08827222473,167800.0,155162.91172777527,176933.33333333334,135835433041.25456,0.0,168600.0,179400.0,0.0
2021-03-17,179500.0,100.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,183000.0,183000.0,176200.0,39560.0,0.06,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,169898.85114329652,169254.7365909165,168855.90445597286,0.0,84130.30866049064,21700.0,216207.0,0.0,83.94495412844036,81.45226117695334,72.29813725571627,1241.949118227727,581.8819435836099,660.0671746441171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53184.20130715228,185024.09630030557,171400.0,157775.90369969443,179566.66666666666,67037411526.79474,0.0,179500.0,179400.0,0.0
2021-03-18,177000.0,-2500.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,180500.0,180500.0,175800.0,52620.0,-1.41,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,171108.91284429404,170396.0329734665,169945.8543058173,0.0,58380.095894533195,18200.0,163587.0,0.0,69.84924623115577,83.57765862326674,78.48886582176603,1332.5966130742454,762.2927958546984,570.303817219547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52451.33222637234,185285.8468327864,174200.0,163114.1531672136,177766.66666666666,-12951349296.845306,0.0,179500.0,177000.0,0.0
2021-03-19,179000.0,2000.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,175000.0,179000.0,173000.0,30656.0,1.12,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,172354.56068756623,171548.88326782084,171033.3764820297,0.0,89036.0958945332,24200.0,194243.0,0.0,79.38144329896907,77.72521455285506,80.91837811769172,1474.3195528330398,926.7745090996517,547.5450437333881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52797.72770659833,185000.3614379134,176700.0,168399.6385620866,177000.0,-42079853862.212944,0.0,179000.0,177000.0,0.0
2021-03-22,181300.0,2300.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,179000.0,181300.0,177500.0,18165.0,1.27,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,171740.0,0.0,0.0,173678.0416451113,172751.56348481076,172153.91329492777,0.0,107201.0958945332,28000.0,212408.0,25966.202345182435,85.34482758620689,78.19183903877725,79.83157073829967,1671.8758191573434,1093.7204556242646,578.1553635330788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53031.13273453129,181984.0116617828,179240.0,176495.9883382172,180033.33333333334,71125791357.00523,0.0,181300.0,177000.0,0.0
2021-03-23,186300.0,5000.0,-34800,-48100,108600,-25700,-19900,9700,-31700,-500,-5100,12700,181300.0,187700.0,181300.0,37384.0,2.68,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,174210.0,0.0,0.0,175444.69288767723,174304.97420242536,173570.98980328973,0.0,128229.5958945332,33000.0,249792.0,32703.921221819386,90.47619047619048,85.06748712045548,80.32818023736259,2057.5642845243565,1304.6039780455794,752.960306478777,0.0,15.284653465346532,0.0,0.0,0.0,0.0,0.0,24700.0,0.0,54062.13107981535,186926.06057693707,180620.0,174313.93942306293,185100.0,87310079178.25807,0.0,181300.0,186300.0,0.0
2021-03-24,192700.0,6400.0,86100,85400,-151200,-20300,11300,8700,46000,-2200,-7000,29300,187200.0,194700.0,185000.0,47665.0,3.32,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,177330.0,0.0,0.0,177746.9165921118,176281.57070523952,175344.3540072086,0.0,156238.92579144042,40700.0,297457.0,41399.236527475965,90.78341013824884,88.86814273354874,84.04248963092716,2663.8971352859808,1596.5231416669294,1067.3739936190514,0.0,19.3188854489164,0.0,0.0,0.0,0.0,0.0,31200.0,0.0,55699.57606102845,194557.15008309617,183260.0,171962.84991690383,190800.0,108874436169.09682,0.0,181300.0,192700.0,0.5155279132337286
2021-03-25,190100.0,-2600.0,42400,-90400,53900,-5900,-6600,10000,30700,400,-2900,10800,192100.0,195000.0,189000.0,51988.0,-1.37,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,180040.0,0.0,0.0,179327.87008859986,177682.5720995156,176619.10225965123,0.0,123313.19245810708,35800.0,245469.0,30716.47431668613,77.72727272727272,86.32895778057069,86.75486254485831,2931.363069895917,1879.0216468781825,1052.3414230177343,0.0,16.625766871165638,0.0,0.0,0.0,0.0,0.0,27100.0,0.0,54998.12925251781,196187.58943691492,185880.0,175572.41056308508,191366.66666666666,24813418481.187965,0.0,181300.0,190100.0,0.9042341605092964
2021-03-26,186800.0,-3300.0,-42900,-88300,140700,-9500,-12600,-700,-15900,-1400,-4000,-8300,190100.0,190200.0,179000.0,43580.0,-1.77,0.5,2.608,0.25,33171.37,13316.0,4.0005,59.16,182070.0,0.0,0.0,180249.97319311008,178559.7899640368,177443.57501612647,0.0,140433.90674382137,32400.0,201889.0,29001.34665620973,53.142857142857146,73.88451333612623,83.02720461674855,2902.2372330798826,2093.07911094884,809.1581221310425,0.0,12.192192192192186,-22.16216216216216,72.93248182511951,0.0,0.0,0.0,20300.0,0.0,54241.61163021376,195142.0516747163,187440.0,179737.9483252837,185333.33333333334,-190178981184.02936,0.0,186800.0,190100.0,0.2230224612171963
2021-03-29,182800.0,-4000.0,-17200,-36600,71700,-17900,-21400,9400,6600,700,-1800,-10700,186400.0,186700.0,181700.0,32368.0,-2.19,0.5,2.639,0.25,33066.96,13316.0,3.9945,61.45,183490.0,0.0,0.0,180554.75651626085,178948.84856861623,177852.2674709725,6842.857142857143,122307.82674382137,28400.0,169521.0,19895.828371813957,23.75,51.540043290043286,70.58450480224674,2605.875713646761,2199.378509064546,406.4972045822151,72.94372294372296,8.422301304863588,-35.26011560693642,54.036660871686955,0.0,0.0,65.59704959464534,14200.0,0.0,53548.506705160224,194524.2169776622,187740.0,180955.7830223378,183733.33333333334,-6178942165.101335,0.0,182800.0,190100.0,0.1040170175719387
2021-03-30,183700.0,900.0,18300,52700,-42900,-28000,18200,3800,-5000,0,-1000,2300,181500.0,186200.0,181500.0,28016.0,0.49,0.5,2.511,0.25,32981.55,13585.5,4.1405,58.65,183920.0,0.0,0.0,180920.22414660678,179366.36124038923,178274.50887960664,6689.7959183673465,120519.57142467242,30600.0,197537.0,13793.141620121576,29.375,35.422619047619044,53.61572522459619,2402.8301032833406,2241.2473304610535,161.5827728222871,73.4996738421396,2.3968784838350077,-33.43195266272189,46.403728436282414,0.0,0.0,66.16880914573913,4300.0,0.0,53686.441059646,194726.15747236894,187220.0,179713.84252763106,183800.0,-5871644774.41462,0.0,183700.0,190100.0,-0.017748746436266567
2021-03-31,187500.0,3800.0,-57900,-75200,148300,-15200,-35100,-7400,-14300,700,-4700,2900,186700.0,190000.0,185000.0,26513.0,2.03,0.5,2.456,0.25,33153.21,13570.0,4.1185,59.33,184720.0,0.0,0.0,181665.91692957113,180053.45340908426,178907.35804139855,6661.9533527696785,120519.57142467242,34400.0,224050.0,10042.665983509083,53.125,35.416666666666664,40.793109668109665,2453.3218901688233,2284.6393436753206,168.68254649350274,75.76407691248681,4.456824512534818,-23.510971786833856,74.72739820565887,0.0,0.0,65.9625689097572,8000.0,0.0,54234.88635088171,191476.64044465925,186180.0,180883.35955534075,187500.0,68834156828.72554,0.0,187500.0,190100.0,-0.04791704404898996
2021-04-01,197400.0,9900.0,20300,136500,-146100,-10700,22100,6400,-7800,-400,-2400,2400,190000.0,203900.0,187700.0,51878.0,5.02,0.5,2.52,0.25,33527.19,13604.75,4.0575,59.77,186760.0,0.0,0.0,183409.9716979719,181466.72153398537,180116.6698972423,7357.52811328613,130767.07759751193,44300.0,275928.0,10855.981006842994,73.89558232931726,52.13186077643909,40.990382163574935,3086.066562670225,2447.865203154003,638.2013595162216,80.45078688029795,11.525423728813555,-16.129032258064516,157.09738506789157,0.0,0.0,67.0782033929802,20400.0,0.0,56974.04475088171,198029.6871945213,187640.0,177250.3128054787,196333.33333333334,259185010987.31638,0.0,187500.0,197400.0,0.17479524268107613
2021-04-02,196000.0,-1400.0,5000,-11900,27700,-20800,-8900,2800,13200,700,-500,-2400,201200.0,201200.0,195200.0,17280.0,-0.71,0.5,2.522,0.25,33430.24,13747.75,4.099,59.6,188460.0,0.0,0.0,184778.24302023838,182612.0132268914,181109.8726901052,7260.561819479977,118095.07759751193,39100.0,258648.0,6169.793424857504,64.73214285714286,63.91757506215337,50.48870083508638,3444.992030842637,2650.206615765129,794.7854150775083,78.14928648130422,9.49720670391061,-24.307692307692307,152.18931915970612,0.0,0.0,70.68848606849417,17000.0,0.0,56851.49155939235,201717.25459406644,189480.0,177242.74540593356,197466.66666666666,83333333333.33333,0.0,196000.0,197400.0,0.1597732530861389
2021-04-05,197400.0,1400.0,-4400,7700,5700,-8900,-20500,8000,-1500,600,-100,9100,196100.0,197700.0,195400.0,17009.0,0.71,0.5,2.526,0.25,33446.26,13829.5,4.046,59.32,190070.0,180905.0,0.0,186126.0128737048,183742.13352976376,182086.58908629767,6906.235975231408,130666.94716272932,41100.0,275657.0,7691.966691627385,70.98214285714286,69.86995601453434,61.97313061770893,3771.319336341985,2877.044421726001,894.274914615984,78.80234669556778,8.880308880308885,-21.035598705501616,117.43295019157073,0.0,0.0,65.1306500139238,16100.0,0.0,56972.984416535204,203807.36604129104,192400.0,180992.63395870896,196833.33333333334,-22311717326.121468,0.0,197400.0,197400.0,0.1418020409009691
2021-04-06,195300.0,-2100.0,-13600,-156200,208000,-38200,1000,5200,-25700,-900,-5400,12300,201000.0,201000.0,190800.0,27517.0,-1.08,0.5,2.561,0.25,33503.57,13808.75,4.0255,59.7,190970.0,182590.0,0.0,187090.31893151172,184600.6750453211,182848.10605445158,7141.50483414345,127429.65304508226,35400.0,248140.0,6585.356109543063,54.4973544973545,63.403880070546734,65.73047038241148,3839.313337650412,3071.2898023225657,768.0235353278463,75.17302414096254,4.8309178743961345,-27.831715210355988,88.36213430347111,0.0,0.0,58.51729132383291,9000.0,0.0,56680.25037398201,202120.97290901677,194720.0,187319.02709098323,195700.0,-24094196315.005272,0.0,197400.0,195300.0,0.1893931995671306
