일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,117000.0,-4600.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,120300.0,120400.0,114600.0,291141.0,-3.93,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,117000.0,117000.0,117000.0,0.0,-50196.724137931036,0.0,291141.0,0.0,41.37931034482759,41.37931034482759,41.37931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291141.0,0.0,0.0,0.0,117333.33333333333,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,140200.0,23200.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,120700.0,147000.0,119900.0,1880391.0,16.55,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,129152.38095238095,128882.9268292683,128714.85148514851,0.0,886529.4197735081,23200.0,2171532.0,0.0,79.01234567901234,60.195828011919964,50.78756917837377,520.5128205128276,289.1737891737931,231.33903133903448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664004.8564102564,0.0,0.0,0.0,135700.0,22986974517.53385,0.0,1000.0,140200.0,0.0
2021-03-11,140200.0,0.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,138800.0,142400.0,135900.0,339654.0,0.0,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,133190.93655589124,132840.76130055508,132619.2915958698,0.0,996263.7890042773,23200.0,2171532.0,0.0,79.01234567901234,66.46800056761742,56.01437964145499,663.2366482766811,442.4782396257964,220.7584086508847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664004.8564102564,0.0,0.0,0.0,139500.0,10908159479.941353,0.0,140200.0,140200.0,0.0
2021-03-12,150000.0,9800.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,143900.0,152000.0,140800.0,606612.0,6.53,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,138011.63542340012,137449.43592123195,137094.37675780905,0.0,1386228.6461471345,33000.0,2778144.0,0.0,94.6524064171123,84.225699258379,70.29650927930545,1065.72126404132,653.6039254034127,412.1173386379072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706407.1217454917,0.0,0.0,0.0,147600.0,13385821579.526945,0.0,140200.0,150000.0,0.0
2021-03-15,152100.0,2100.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,150000.0,154600.0,148300.0,260243.0,1.38,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,141390.24913596828,140672.20837890691,140215.52276721856,0.0,1439929.582655071,36800.0,3038387.0,0.0,93.75,89.1382506987082,79.94398350823487,1345.5531018167676,859.4431616044346,486.10994021233296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710050.5237454918,164806.86652310964,139900.0,114993.13347689036,151666.66666666666,12225112683.146135,0.0,152100.0,150000.0,0.0
2021-03-16,153700.0,1600.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,152000.0,154000.0,149500.0,176211.0,1.04,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,143959.7124530659,143116.68696962585,142575.64752398117,0.0,1592645.782655071,41000.0,3214598.0,0.0,97.40634005763688,95.26958215824972,89.54451070511232,1556.8949978332093,1048.4913867943835,508.40361103882583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711904.1568815864,158973.43939346005,147240.0,135506.56060653995,152400.0,766126972.776955,0.0,153700.0,150000.0,0.0
2021-03-17,154000.0,300.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,154000.0,155400.0,151400.0,198187.0,0.19,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,145834.55816280743,144907.97476200882,144306.2348262174,0.0,1652101.882655071,43600.0,3412785.0,0.0,92.82051282051282,94.65895095938323,93.02226127211372,1679.2041457646992,1208.1079602044545,471.09618556024475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712290.9890221199,160203.52880135103,150000.0,139796.47119864897,153600.0,3330188155.630793,0.0,153700.0,154000.0,0.0
2021-03-18,154000.0,0.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,155500.0,160600.0,151700.0,250822.0,0.0,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,147225.97927484094,146247.722032838,145603.58182300458,0.0,1530918.2197337227,43600.0,3412785.0,0.0,66.66666666666666,85.63117318160545,91.85323543307948,1734.2168130258215,1334.5418110165992,399.6750020092222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712290.9890221199,155859.9354831996,152760.0,149660.0645168004,155433.33333333334,9757915972.283134,0.0,153700.0,154000.0,0.0
2021-03-19,156400.0,2400.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,153600.0,157400.0,151200.0,306721.0,1.53,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,148674.14464229168,147608.0313653489,146900.373876913,0.0,1738696.9616692066,48800.0,3719506.0,0.0,65.85365853658537,75.11361267458828,85.13457893852565,1864.9979380808363,1457.0798079748545,407.91813010598185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717071.0565545874,156789.83635876756,154040.0,151290.16364123244,155000.0,-3739554839.7403507,0.0,153700.0,156400.0,0.0
2021-03-22,155300.0,-1100.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,158900.0,158900.0,154500.0,278019.0,-0.71,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,147290.0,0.0,0.0,149654.44232104137,148556.741011709,147817.13977068762,0.0,1561775.7798510247,45200.0,3441487.0,335400.5475153432,52.25225225225225,61.590859151834756,74.11188166934284,1873.9766778145276,1550.4889076490233,323.48777016550434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715115.679956122,156725.09168498628,154680.0,152634.90831501372,156233.33333333334,3798301554.929699,0.0,155300.0,156400.0,0.0
